formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,benchmark_kind,interval_len
5,"G[0,300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004726385060,0.000000236319,0.236319,general,300
5,"G[0,400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004921877520,0.000000246094,0.246094,general,400
5,"G[0,500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005088383400,0.000000254419,0.254419,general,500
5,"G[0,600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005258287480,0.000000262914,0.262914,general,600
5,"G[0,700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005377333320,0.000000268867,0.268867,general,700
5,"G[0,800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005346327500,0.000000267316,0.267316,general,800
5,"G[0,900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005434297580,0.000000271715,0.271715,general,900
5,"G[0,1000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005408658280,0.000000270433,0.270433,general,1000
5,"G[0,1100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005442376600,0.000000272119,0.272119,general,1100
5,"G[0,1200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005423378380,0.000000271169,0.271169,general,1200
5,"G[0,1300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005430560060,0.000000271528,0.271528,general,1300
5,"G[0,1400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005401354180,0.000000270068,0.270068,general,1400
5,"G[0,1500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005436795020,0.000000271840,0.271840,general,1500
5,"G[0,1600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005405668320,0.000000270283,0.270283,general,1600
5,"G[0,1700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005422916600,0.000000271146,0.271146,general,1700
5,"G[0,1800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005411876620,0.000000270594,0.270594,general,1800
5,"G[0,1900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005434345000,0.000000271717,0.271717,general,1900
5,"G[0,2000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005416591620,0.000000270830,0.270830,general,2000
5,"G[0,2100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005433497420,0.000000271675,0.271675,general,2100
5,"G[0,2200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005376850800,0.000000268843,0.268843,general,2200
5,"G[0,2300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005375585060,0.000000268779,0.268779,general,2300
5,"G[0,2400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005392094120,0.000000269605,0.269605,general,2400
5,"G[0,2500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005398894060,0.000000269945,0.269945,general,2500
5,"G[0,2600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005406132440,0.000000270307,0.270307,general,2600
5,"G[0,2700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005423969240,0.000000271198,0.271198,general,2700
5,"G[0,2800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005393872620,0.000000269694,0.269694,general,2800
5,"G[0,2900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005388393340,0.000000269420,0.269420,general,2900
5,"G[0,3000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005409279220,0.000000270464,0.270464,general,3000
5,"G[0,3100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005375366660,0.000000268768,0.268768,general,3100
5,"G[0,3200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005384728160,0.000000269236,0.269236,general,3200
5,"G[0,3300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005390021720,0.000000269501,0.269501,general,3300
5,"G[0,3400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005386324220,0.000000269316,0.269316,general,3400
5,"G[0,3500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005371574200,0.000000268579,0.268579,general,3500
5,"G[0,3600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005560955860,0.000000278048,0.278048,general,3600
5,"G[0,3700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005375019040,0.000000268751,0.268751,general,3700
5,"G[0,3800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005431530900,0.000000271577,0.271577,general,3800
5,"G[0,3900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005368654960,0.000000268433,0.268433,general,3900
5,"G[0,4000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005385232560,0.000000269262,0.269262,general,4000
5,"G[0,4100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005374891580,0.000000268745,0.268745,general,4100
5,"G[0,4200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005356396680,0.000000267820,0.267820,general,4200
5,"G[0,4300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005381681640,0.000000269084,0.269084,general,4300
