formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,temporal_depth
5,"G[0,2000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006910834199984493,3.455417099992246e-07,0.3455417099992246,2000.0
5,"G[0,2100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007081789939993541,3.5408949699967706e-07,0.35408949699967707,2100.0
5,"G[0,2200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006897927439986233,3.4489637199931167e-07,0.34489637199931167,2200.0
5,"G[0,2300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006980225020006401,3.4901125100032003e-07,0.34901125100032004,2300.0
5,"G[0,2400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006991638360013894,3.4958191800069473e-07,0.3495819180006947,2400.0
5,"G[0,2500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007050633279995964,3.525316639997982e-07,0.3525316639997982,2500.0
5,"G[0,2600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006990886660000797,3.4954433300003985e-07,0.34954433300003984,2600.0
5,"G[0,2700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006867854119968797,3.4339270599843985e-07,0.34339270599843985,2700.0
5,"G[0,2800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007035024139981943,3.517512069990971e-07,0.3517512069990971,2800.0
5,"G[0,2900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006896392399989963,3.4481961999949817e-07,0.3448196199994982,2900.0
5,"G[0,3000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007048784200001137,3.5243921000005685e-07,0.35243921000005685,3000.0
5,"G[0,3100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006808372580012474,3.404186290006237e-07,0.3404186290006237,3100.0
5,"G[0,3200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007104275840001719,3.55213792000086e-07,0.35521379200008596,3200.0
5,"G[0,3300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006818368320014087,3.4091841600070434e-07,0.3409184160007043,3300.0
5,"G[0,3400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007031070880011612,3.515535440005806e-07,0.3515535440005806,3400.0
5,"G[0,3500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007322904900011053,3.661452450005527e-07,0.3661452450005527,3500.0
5,"G[0,3600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007363321620005081,3.681660810002541e-07,0.36816608100025405,3600.0
5,"G[0,3700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007315344959997674,3.657672479998837e-07,0.3657672479998837,3700.0
5,"G[0,3800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007378087440006311,3.689043720003156e-07,0.36890437200031556,3800.0
5,"G[0,3900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007198424180019174,3.599212090009587e-07,0.3599212090009587,3900.0
5,"G[0,4000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007306556640019153,3.6532783200095765e-07,0.36532783200095764,4000.0
5,"G[0,4100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007248498339999969,3.6242491699999845e-07,0.36242491699999846,4100.0
5,"G[0,4200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007240219919999617,3.6201099599998085e-07,0.3620109959999808,4200.0
5,"G[0,4300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0072386292199962555,3.6193146099981277e-07,0.36193146099981277,4300.0
5,"G[0,4400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007248956780008484,3.624478390004242e-07,0.3624478390004242,4400.0
5,"G[0,4500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007331391639977483,3.6656958199887413e-07,0.3665695819988741,4500.0
5,"G[0,4600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007252711619998991,3.6263558099994953e-07,0.3626355809999495,4600.0
5,"G[0,4700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007152016660011213,3.5760083300056066e-07,0.35760083300056067,4700.0
5,"G[0,4800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007270471720007663,3.635235860003831e-07,0.36352358600038315,4800.0
5,"G[0,4900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007281736680001813,3.6408683400009066e-07,0.3640868340000907,4900.0
5,"G[0,5000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007215644999996584,3.607822499998292e-07,0.3607822499998292,5000.0
6,"F[0,1.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004144859939997332,2.0724299699986658e-07,0.2072429969998666,1.0
6,"F[0,100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005494897440012209,2.747448720006105e-07,0.2747448720006105,100.0
